Cage,ID,Clip,Treatment,DOB,AgeMonths,Age,Sex,%wt loss through D6,viral load log2(Y+1) genomi ccopies/mL,Abs Titre background 0.13,Abs Titre Background 0.07,% change in Penh Day 6,ViralLoadmL,log(Y+1),TCID50,Histopath total score ,PenHDay0,PenHDay1,PenHDay2,PenHDay3,PenHDay4,PenHDay5,PenHDay6,MassDay0,MassDay1,MassDay2,MassDay3,MassDay4,MassDay5,MassDay6,Bronchial/bronchiolar inflammation score ,Eptihelial Change score,Interstitial inflammation score ,Hemorrhage score,Edema score ,Notes during infection
2,3,L,CDN nanovax,12/22/20,28,Aged,Male,4.259634888,0.00E+00,6.10E+04,1.53E+05,-1.538487138,0,0,0.00E+00,2,0.934822298,0.885878149,0.8667789,0.921351231,1.058417488,0.959480957,0.920440177,49.3,47.6,47.5,48.2,47.6,46.9,47.2,0,0,2,0,0,
5,8,L,CDN nanovax,2/2/21,26,Aged,Male,8.982035928,7.09E+00,1.53E+05,3.81E+05,586.6771035,12326175,7.090828365,5.42E+04,16,0.619620969,0.797511578,0.976229713,2.3369169,1.952412883,2.742002269,4.254795324,33.4,32.8,32.81,32.66,31.3,31.3,30.4,5,5,3,1,2,
8,14,L,CDN nanovax,3/2/21,25,Aged,Male,0,4.81E+00,1.53E+05,3.81E+05,14.58010904,64850,4.811916677,4.25E+02,4,0.626842162,0.660286113,0.698031265,0.587750916,0.798212132,0.752097203,0.718236433,44.3,43.5,43.93,43.6,43.9,44,44.3,1,1,1,0,1,
16,29,N,CDN nanovax,3/9/21,25,Aged,Female,16.40625,8.67E+00,6.25E+02,3.91E+03,633.0630394,463482749,8.666033575,1.55E+06,20,0.752322327,0.599938968,0.893202637,2.25663287,1.577528588,6.459452356,5.514996917,38.4,39.53,39.7,37.06,35.6,34.03,32.1,5,5,4,3,3,
18,36,L,CDN nanovax,4/6/21,24,Aged,Female,5.46728972,7.51E+00,2.44E+04,6.10E+04,103.3369629,32226250,7.508209785,1.32E+05,15,0.44436797,0.471617589,0.404431828,0.498724904,0.725242338,0.546844484,0.903564335,21.4,19.66,19.79,20.64,19.8,20.28,20.23,4,4,4,0,3,may not have gotten the full dose/ blood coming out of his nose
20,52,L,CDN nanovax,6/10/21,22,Aged,Female,20.9602649,7.72E+00,3.81E+05,2.38E+06,864.8705747,52415339,7.719458407,2.06E+05,16,0.496223088,0.540047303,3.067426863,8.587582971,5.971099943,4.606452795,4.78791056,30.2,31.13,29.83,27.75,25.9,24.46,23.87,4,4,3,2,3,
21,57,R,CDN nanovax,6/10/21,22,Aged,Female,4.074074074,6.66E+00,1.07E+05,3.81E+05,160.6605407,453202,5.656292776,2.56E+03,9,0.601682626,0.567073912,0.484410328,0.658908442,2.041941301,1.361605473,1.568349185,27,27.3,27.5,27.48,26.3,26.3,25.9,2,1,5,0,1,
24,65,R,CDN nanovax,8/10/21,20,Aged,Female,-0.655737705,6.48E+00,3.91E+03,1.53E+05,133.7815663,3001662,6.477361932,1.47E+04,13,0.472930203,0.60654537,0.469316938,0.616156528,0.510136314,0.60255761,1.105623636,30.5,31.3,30.9,30.91,31.1,30.74,30.7,3,3,3,1,3,
10,67,L,CDN nanovax,8/10/21,20,Aged,Male,11.58536585,6.28E+00,6.10E+04,3.81E+05,530.9786399,1918769,6.28302292,9.72E+03,12,0.476186327,0.401567959,0.604911667,2.624179788,2.271642703,3.367098001,3.004634011,32.8,32.63,32.8,32.14,31.03,29.61,29,4,4,1,1,2,
25,21,R,CDN nanovax,6/28/22,9,Young,Male,9.183673469,6.57E+00,6.10E+04,1.53E+05,180.6100117,3673118,6.565034999,1.77E+04,6,0.590605674,0.513496801,0.592051708,0.907698254,1.826153096,,1.657298651,39.2,38.6,39.3,38.2,36.2,36.5,35.6,2,2,1,0,1,
28,42,L,CDN nanovax,6/28/22,9,Young,Female,18.81918819,6.29E+00,1.53E+05,3.81E+05,669.7443294,1945893,6.289119179,9.85E+03,15,0.415648302,0.3594533,0.445026444,3.768813608,2.676490318,4.571560901,3.199429238,27.1,26.9,26.6,25.28,23.9,22.7,22,4,4,3,1,3,
30,47,N,CDN nanovax,6/28/22,9,Young,Female,-0.722021661,0.00E+00,1.53E+05,3.81E+05,-13.68082632,0,0,0.00E+00,1,0.5053557,0.449257413,0.511202314,0.409229674,0.438132234,0.42264825,0.436218864,27.7,27.82,28.1,28.42,27.8,28.2,27.9,0,0,1,0,0,may not have gotten the full dose
4,6,N,Saline,12/22/20,28,Aged,Male,3.1281198,6.47E+00,1.00E+00,1.00E+00,-24.72042944,2974683,6.473440838,1.46E+04,1,0.982178377,0.786799402,0.742121864,0.699291422,0.743249821,0.879173442,0.739379664,60.1,60.9,59.4,59.02,58.6,59.5,58.22,0,0,1,0,0,
9,17,Bald face,Saline,3/2/21,25,Aged,Male,3.501694368,2.67E+00,1.00E+00,1.00E+00,-24.3729815,470,2.673020907,4.00E+00,1,1.03939762,0.877006116,0.761840786,0.838249764,0.683831037,0.723119476,0.78606543,61.97,61.86,60.6,60.19,60.4,60.09,59.8,0,0,1,0,0,woke up fast
9,18,N,Saline,3/2/21,25,Aged,Male,18.0698152,8.74E+00,1.00E+00,1.00E+00,841.1386879,548705788,8.739339542,1.81E+06,10,0.816887619,0.842531274,2.205371199,7.258041767,5.059284511,7.702577728,7.68804542,48.7,47.98,47.2,44.6,42.5,41.72,39.9,3,3,3,0,1,
15,27,N,Saline,3/9/21,25,Aged,Female,19.34731935,9.12E+00,1.00E+00,1.00E+00,756.1397171,1324662171,9.122105134,4.08E+06,16,0.615535347,0.580032434,0.836551847,1.962916017,2.079473454,4.57213423,5.269842579,42.9,41.55,40.9,39.05,37.2,36.23,34.6,5,5,3,1,2,
17,32,L,Saline,3/9/21,25,Aged,Female,5.163043478,6.74E+00,1.00E+00,1.00E+00,-5.428810481,5472370,6.738175533,2.56E+04,2,0.80722336,0.557815846,0.595114294,0.589442228,0.716192126,0.993386398,0.763400734,36.8,36.68,36.2,35.93,35.6,35.4,34.9,0,0,2,0,0,may not have gotten the full dose
